"city","country_id","country"
"Coacalco de Berriozbal",60,"Mexico"
"Coatzacoalcos",60,"Mexico"
"Compton",103,"United States"
"Coquimbo",22,"Chile"
"Crdoba",6,"Argentina"
"Cuauhtmoc",60,"Mexico"
"Cuautla",60,"Mexico"
"Cuernavaca",60,"Mexico"
"Cuman",104,"Venezuela"
"Czestochowa",76,"Poland"
"Dadu",72,"Pakistan"
"Dallas",103,"United States"
"Datong",23,"China"
"Daugavpils",54,"Latvia"
"Davao",75,"Philippines"
"Daxian",23,"China"
"Dayton",103,"United States"
"Deba Habe",69,"Nigeria"
"Denizli",97,"Turkey"
"Dhaka",12,"Bangladesh"
"Dhule (Dhulia)",44,"India"
"Dongying",23,"China"
"Donostia-San Sebastin",87,"Spain"
"Dos Quebradas",24,"Colombia"
"Duisburg",38,"Germany"
"Dundee",102,"United Kingdom"
"Dzerzinsk",80,"Russian Federation"
"Ede",67,"Netherlands"
"Effon-Alaiye",69,"Nigeria"
"El Alto",14,"Bolivia"
"El Fuerte",60,"Mexico"
"El Monte",103,"United States"
"Elista",80,"Russian Federation"
"Emeishan",23,"China"
"Emmen",67,"Netherlands"
"Enshi",23,"China"
"Erlangen",38,"Germany"
"Escobar",6,"Argentina"
"Esfahan",46,"Iran"
"Eskisehir",97,"Turkey"
"Etawah",44,"India"
"Ezeiza",6,"Argentina"
"Ezhou",23,"China"
"Faaa",36,"French Polynesia"
"Fengshan",92,"Taiwan"
"Firozabad",44,"India"
"Florencia",24,"Colombia"
"Fontana",103,"United States"
"Fukuyama",50,"Japan"
"Funafuti",99,"Tuvalu"
"Fuyu",23,"China"
"Fuzhou",23,"China"
"Gandhinagar",44,"India"
"Garden Grove",103,"United States"
"Garland",103,"United States"
"Gatineau",20,"Canada"
"Gaziantep",97,"Turkey"
"Gijn",87,"Spain"
"Gingoog",75,"Philippines"
"Goinia",15,"Brazil"
"Gorontalo",45,"Indonesia"
"Grand Prairie",103,"United States"
"Graz",9,"Austria"
"Greensboro",103,"United States"
"Guadalajara",60,"Mexico"
"Guaruj",15,"Brazil"
"guas Lindas de Gois",15,"Brazil"
"Gulbarga",44,"India"
"Hagonoy",75,"Philippines"
"Haining",23,"China"
"Haiphong",105,"Vietnam"
"Haldia",44,"India"
"Halifax",20,"Canada"
"Halisahar",44,"India"
"Halle/Saale",38,"Germany"
"Hami",23,"China"
"Hamilton",68,"New Zealand"
"Hanoi",105,"Vietnam"
"Hidalgo",60,"Mexico"
"Higashiosaka",50,"Japan"
"Hino",50,"Japan"
"Hiroshima",50,"Japan"
"Hodeida",107,"Yemen"
"Hohhot",23,"China"
"Hoshiarpur",44,"India"
"Hsichuh",92,"Taiwan"
"Huaian",23,"China"
"Hubli-Dharwad",44,"India"
"Huejutla de Reyes",60,"Mexico"
"Huixquilucan",60,"Mexico"
"Hunuco",74,"Peru"
"Ibirit",15,"Brazil"
"Idfu",29,"Egypt"
"Ife",69,"Nigeria"
"Ikerre",69,"Nigeria"
"Iligan",75,"Philippines"
"Ilorin",69,"Nigeria"
"Imus",75,"Philippines"
"Inegl",97,"Turkey"
"Ipoh",59,"Malaysia"
"Isesaki",50,"Japan"
"Ivanovo",80,"Russian Federation"
"Iwaki",50,"Japan"
"Iwakuni",50,"Japan"
"Iwatsuki",50,"Japan"
"Izumisano",50,"Japan"
"Jaffna",88,"Sri Lanka"
"Jaipur",44,"India"
"Jakarta",45,"Indonesia"
"Jalib al-Shuyukh",53,"Kuwait"
"Jamalpur",12,"Bangladesh"
"Jaroslavl",80,"Russian Federation"
"Jastrzebie-Zdrj",76,"Poland"
"Jedda",82,"Saudi Arabia"
"Jelets",80,"Russian Federation"
"Jhansi",44,"India"
"Jinchang",23,"China"
"Jining",23,"China"
"Jinzhou",23,"China"
"Jodhpur",44,"India"
"Johannesburg",85,"South Africa"
"Joliet",103,"United States"
"Jos Azueta",60,"Mexico"
"Juazeiro do Norte",15,"Brazil"
"Juiz de Fora",15,"Brazil"
"Junan",23,"China"
"Jurez",60,"Mexico"
"Kabul",1,"Afghanistan"
"Kaduna",69,"Nigeria"
"Kakamigahara",50,"Japan"
"Kaliningrad",80,"Russian Federation"
"Kalisz",76,"Poland"
"Kamakura",50,"Japan"
"Kamarhati",44,"India"
"Kamjanets-Podilskyi",100,"Ukraine"
"Kamyin",80,"Russian Federation"
"Kanazawa",50,"Japan"
"Kanchrapara",44,"India"
"Kansas City",103,"United States"
"Karnal",44,"India"
"Katihar",44,"India"
"Kermanshah",46,"Iran"
"Kilis",97,"Turkey"
"Kimberley",85,"South Africa"
"Kimchon",86,"South Korea"
"Kingstown",81,"Saint Vincent and the Grenadines"
"Kirovo-Tepetsk",80,"Russian Federation"
"Kisumu",52,"Kenya"
"Kitwe",109,"Zambia"
"Klerksdorp",85,"South Africa"
"Kolpino",80,"Russian Federation"
"Konotop",100,"Ukraine"
"Koriyama",50,"Japan"
"Korla",23,"China"
"Korolev",80,"Russian Federation"
"Kowloon and New Kowloon",42,"Hong Kong"
"Kragujevac",108,"Yugoslavia"
"Ktahya",97,"Turkey"
"Kuching",59,"Malaysia"
"Kumbakonam",44,"India"
"Kurashiki",50,"Japan"
"Kurgan",80,"Russian Federation"
"Kursk",80,"Russian Federation"
"Kuwana",50,"Japan"
"La Paz",60,"Mexico"
"La Plata",6,"Argentina"
"La Romana",27,"Dominican Republic"
"Laiwu",23,"China"
"Lancaster",103,"United States"
"Laohekou",23,"China"
"Lapu-Lapu",75,"Philippines"
"Laredo",103,"United States"
"Lausanne",91,"Switzerland"
"Le Mans",34,"France"
"Lengshuijiang",23,"China"
"Leshan",23,"China"
"Lethbridge",20,"Canada"
"Lhokseumawe",45,"Indonesia"
"Liaocheng",23,"China"
"Liepaja",54,"Latvia"
"Lilongwe",58,"Malawi"
"Lima",74,"Peru"
"Lincoln",103,"United States"
"Linz",9,"Austria"
"Lipetsk",80,"Russian Federation"
"Livorno",49,"Italy"
"Ljubertsy",80,"Russian Federation"
"Loja",28,"Ecuador"
"London",102,"United Kingdom"
"London",20,"Canada"
"Lublin",76,"Poland"
"Lubumbashi",25,"Congo, The Democratic Republic of the"
"Lungtan",92,"Taiwan"
"Luzinia",15,"Brazil"
"Madiun",45,"Indonesia"
"Mahajanga",57,"Madagascar"
"Maikop",80,"Russian Federation"
"Malm",90,"Sweden"
"Manchester",103,"United States"
"Mandaluyong",75,"Philippines"
"Mandi Bahauddin",72,"Pakistan"
"Mannheim",38,"Germany"
"Maracabo",104,"Venezuela"
"Mardan",72,"Pakistan"
"Maring",15,"Brazil"
"Masqat",71,"Oman"
"Matamoros",60,"Mexico"
"Matsue",50,"Japan"
"Meixian",23,"China"
"Memphis",103,"United States"
"Merlo",6,"Argentina"
"Mexicali",60,"Mexico"
"Miraj",44,"India"
"Mit Ghamr",29,"Egypt"
"Miyakonojo",50,"Japan"
"Mogiljov",13,"Belarus"
"Molodetno",13,"Belarus"
"Monclova",60,"Mexico"
"Monywa",64,"Myanmar"
"Moscow",80,"Russian Federation"
"Mosul",47,"Iraq"
"Mukateve",100,"Ukraine"
"Munger (Monghyr)",44,"India"
"Mwanza",93,"Tanzania"
"Mwene-Ditu",25,"Congo, The Democratic Republic of the"
"Myingyan",64,"Myanmar"
"Mysore",44,"India"
"Naala-Porto",63,"Mozambique"
"Nabereznyje Telny",80,"Russian Federation"
"Nador",62,"Morocco"
"Nagaon",44,"India"
"Nagareyama",50,"Japan"
"Najafabad",46,"Iran"
"Naju",86,"South Korea"
"Nakhon Sawan",94,"Thailand"
"Nam Dinh",105,"Vietnam"
"Namibe",4,"Angola"
"Nantou",92,"Taiwan"
"Nanyang",23,"China"
"NDjamna",21,"Chad"
"Newcastle",85,"South Africa"
"Nezahualcyotl",60,"Mexico"
"Nha Trang",105,"Vietnam"
"Niznekamsk",80,"Russian Federation"
"Novi Sad",108,"Yugoslavia"
"Novoterkassk",80,"Russian Federation"
"Nukualofa",95,"Tonga"
"Nuuk",40,"Greenland"
"Nyeri",52,"Kenya"
"Ocumare del Tuy",104,"Venezuela"
"Ogbomosho",69,"Nigeria"
"Okara",72,"Pakistan"
"Okayama",50,"Japan"
"Okinawa",50,"Japan"
"Olomouc",26,"Czech Republic"
"Omdurman",89,"Sudan"
"Omiya",50,"Japan"
"Ondo",69,"Nigeria"
"Onomichi",50,"Japan"
"Oshawa",20,"Canada"
"Osmaniye",97,"Turkey"
"ostka",100,"Ukraine"
"Otsu",50,"Japan"
"Oulu",33,"Finland"
"Ourense (Orense)",87,"Spain"
"Owo",69,"Nigeria"
"Oyo",69,"Nigeria"
"Ozamis",75,"Philippines"
"Paarl",85,"South Africa"
"Pachuca de Soto",60,"Mexico"
"Pak Kret",94,"Thailand"
"Palghat (Palakkad)",44,"India"
"Pangkal Pinang",45,"Indonesia"
"Papeete",36,"French Polynesia"
"Parbhani",44,"India"
"Pathankot",44,"India"
"Patiala",44,"India"
"Patras",39,"Greece"
"Pavlodar",51,"Kazakstan"
"Pemalang",45,"Indonesia"
"Peoria",103,"United States"
"Pereira",24,"Colombia"
"Phnom Penh",18,"Cambodia"
"Pingxiang",23,"China"
"Pjatigorsk",80,"Russian Federation"
"Plock",76,"Poland"
"Po",15,"Brazil"
"Ponce",77,"Puerto Rico"
"Pontianak",45,"Indonesia"
"Poos de Caldas",15,"Brazil"
"Portoviejo",28,"Ecuador"
"Probolinggo",45,"Indonesia"
"Pudukkottai",44,"India"
"Pune",44,"India"
"Purnea (Purnia)",44,"India"
"Purwakarta",45,"Indonesia"
"Pyongyang",70,"North Korea"
"Qalyub",29,"Egypt"
"Qinhuangdao",23,"China"
"Qomsheh",46,"Iran"
"Quilmes",6,"Argentina"
"Rae Bareli",44,"India"
"Rajkot",44,"India"
"Rampur",44,"India"
"Rancagua",22,"Chile"
"Ranchi",44,"India"
"Richmond Hill",20,"Canada"
"Rio Claro",15,"Brazil"
"Rizhao",23,"China"
"Roanoke",103,"United States"
"Robamba",28,"Ecuador"
"Rockford",103,"United States"
"Ruse",17,"Bulgaria"
"Rustenburg",85,"South Africa"
"s-Hertogenbosch",67,"Netherlands"
"Saarbrcken",38,"Germany"
"Sagamihara",50,"Japan"
"Saint Louis",103,"United States"
"Saint-Denis",79,"Runion"
"Sal",62,"Morocco"
"Salala",71,"Oman"
"Salamanca",60,"Mexico"
"Salinas",103,"United States"
"Salzburg",9,"Austria"
"Sambhal",44,"India"
"San Bernardino",103,"United States"
"San Felipe de Puerto Plata",27,"Dominican Republic"
"San Felipe del Progreso",60,"Mexico"
"San Juan Bautista Tuxtepec",60,"Mexico"
"San Lorenzo",73,"Paraguay"
"San Miguel de Tucumn",6,"Argentina"
"Sanaa",107,"Yemen"
"Santa Brbara dOeste",15,"Brazil"
"Santa F",6,"Argentina"
"Santa Rosa",75,"Philippines"
"Santiago de Compostela",87,"Spain"
"Santiago de los Caballeros",27,"Dominican Republic"
"Santo Andr",15,"Brazil"
"Sanya",23,"China"
"Sasebo",50,"Japan"
"Satna",44,"India"
"Sawhaj",29,"Egypt"
"Serpuhov",80,"Russian Federation"
"Shahr-e Kord",46,"Iran"
"Shanwei",23,"China"
"Shaoguan",23,"China"
"Sharja",101,"United Arab Emirates"
"Shenzhen",23,"China"
"Shikarpur",72,"Pakistan"
"Shimoga",44,"India"
"Shimonoseki",50,"Japan"
"Shivapuri",44,"India"
"Shubra al-Khayma",29,"Egypt"
"Siegen",38,"Germany"
"Siliguri (Shiliguri)",44,"India"
"Simferopol",100,"Ukraine"
"Sincelejo",24,"Colombia"
"Sirjan",46,"Iran"
"Sivas",97,"Turkey"
"Skikda",2,"Algeria"
"Smolensk",80,"Russian Federation"
"So Bernardo do Campo",15,"Brazil"
"So Leopoldo",15,"Brazil"
"Sogamoso",24,"Colombia"
"Sokoto",69,"Nigeria"
"Songkhla",94,"Thailand"
"Sorocaba",15,"Brazil"
"Soshanguve",85,"South Africa"
"Sousse",96,"Tunisia"
"South Hill",5,"Anguilla"
"Southampton",102,"United Kingdom"
"Southend-on-Sea",102,"United Kingdom"
"Southport",102,"United Kingdom"
"Springs",85,"South Africa"
"Stara Zagora",17,"Bulgaria"
"Sterling Heights",103,"United States"
"Stockport",102,"United Kingdom"
"Sucre",14,"Bolivia"
"Suihua",23,"China"
"Sullana",74,"Peru"
"Sultanbeyli",97,"Turkey"
"Sumqayit",10,"Azerbaijan"
"Sumy",100,"Ukraine"
"Sungai Petani",59,"Malaysia"
"Sunnyvale",103,"United States"
"Surakarta",45,"Indonesia"
"Syktyvkar",80,"Russian Federation"
"Syrakusa",49,"Italy"
"Szkesfehrvr",43,"Hungary"
"Tabora",93,"Tanzania"
"Tabriz",46,"Iran"
"Tabuk",82,"Saudi Arabia"
"Tafuna",3,"American Samoa"
"Taguig",75,"Philippines"
"Taizz",107,"Yemen"
"Talavera",75,"Philippines"
"Tallahassee",103,"United States"
"Tama",50,"Japan"
"Tambaram",44,"India"
"Tanauan",75,"Philippines"
"Tandil",6,"Argentina"
"Tangail",12,"Bangladesh"
"Tanshui",92,"Taiwan"
"Tanza",75,"Philippines"
"Tarlac",75,"Philippines"
"Tarsus",97,"Turkey"
"Tartu",30,"Estonia"
"Teboksary",80,"Russian Federation"
"Tegal",45,"Indonesia"
"Tel Aviv-Jaffa",48,"Israel"
"Tete",63,"Mozambique"
"Tianjin",23,"China"
"Tiefa",23,"China"
"Tieli",23,"China"
"Tokat",97,"Turkey"
"Tonghae",86,"South Korea"
"Tongliao",23,"China"
"Torren",60,"Mexico"
"Touliu",92,"Taiwan"
"Toulon",34,"France"
"Toulouse",34,"France"
"Trshavn",32,"Faroe Islands"
"Tsaotun",92,"Taiwan"
"Tsuyama",50,"Japan"
"Tuguegarao",75,"Philippines"
"Tychy",76,"Poland"
"Udaipur",44,"India"
"Udine",49,"Italy"
"Ueda",50,"Japan"
"Uijongbu",86,"South Korea"
"Uluberia",44,"India"
"Urawa",50,"Japan"
"Uruapan",60,"Mexico"
"Usak",97,"Turkey"
"Usolje-Sibirskoje",80,"Russian Federation"
"Uttarpara-Kotrung",44,"India"
"Vaduz",55,"Liechtenstein"
"Valencia",104,"Venezuela"
"Valle de la Pascua",104,"Venezuela"
"Valle de Santiago",60,"Mexico"
"Valparai",44,"India"
"Vancouver",20,"Canada"
"Varanasi (Benares)",44,"India"
"Vicente Lpez",6,"Argentina"
"Vijayawada",44,"India"
"Vila Velha",15,"Brazil"
"Vilnius",56,"Lithuania"
"Vinh",105,"Vietnam"
"Vitria de Santo Anto",15,"Brazil"
"Warren",103,"United States"
"Weifang",23,"China"
"Witten",38,"Germany"
"Woodridge",8,"Australia"
"Wroclaw",76,"Poland"
"Xiangfan",23,"China"
"Xiangtan",23,"China"
"Xintai",23,"China"
"Xinxiang",23,"China"
"Yamuna Nagar",44,"India"
"Yangor",65,"Nauru"
"Yantai",23,"China"
"Yaound",19,"Cameroon"
"Yerevan",7,"Armenia"
"Yinchuan",23,"China"
"Yingkou",23,"China"
"York",102,"United Kingdom"
"Yuncheng",23,"China"
"Yuzhou",23,"China"
"Zalantun",23,"China"
"Zanzibar",93,"Tanzania"
"Zaoyang",23,"China"
"Zapopan",60,"Mexico"
"Zaria",69,"Nigeria"
"Zeleznogorsk",80,"Russian Federation"
"Zhezqazghan",51,"Kazakstan"
"Zhoushan",23,"China"
"Ziguinchor",83,"Senegal"
